Created at,Description,Followers Count,Friends Count,Location,Profile Image Url,Statuses Count,User ID,User Name,text
Fri Oct 14 21:31:02 +0000 2022,AMC🚀,570.0,980.0,,http://pbs.twimg.com/profile_images/1484420228826206209/T1jnp8dX_normal.jpg,1137.0,1.5810348713081856e+18,Rainisliquidsunshine - Holding since 27.01.21,RT @Ph93nguyen: There's thousands of stocks/tickers out there. Yet $AMC &amp; $APE are continuously being talked about by MSM. Why don't they t…
Fri Oct 14 21:30:27 +0000 2022,Most profitable trading community with most success rate join our community https://t.co/AFqc18TPg3,10.0,0.0,,http://pbs.twimg.com/profile_images/1572609320965263361/sTIeK0LP_normal.jpg,2868.0,1.5810347269574205e+18,Ajith,$BBD $DAL $XLRE $CSCO $RF $T $AAPL $SAVE  $ET $GLD $IVR $IAU $INTC $GOLD $PBR $TWTR $KEY $HYG $AUY $SPY $PCG $CZR… https://t.co/uxNHK42gLi
Fri Oct 14 21:30:22 +0000 2022,"Loves Music, Food, Alocohol, Politics, Day dreaming.
Hates many things..",117.0,511.0,,http://pbs.twimg.com/profile_images/378800000162546452/31fb5076a4329865302d7a32e1288171_normal.jpeg,15159.0,1.5810347054028554e+18,Anup,"RT @MapleStax: How to use the Mid-Candle! 🕯️

Look for the Golden Zone (50-61.8% Retracement) for great risk:reward opportunities!

$SPY $Q…"
Fri Oct 14 21:30:11 +0000 2022,Most profitable trading community with most success rate join our community https://t.co/AFqc18TPg3,10.0,0.0,,http://pbs.twimg.com/profile_images/1572609320965263361/sTIeK0LP_normal.jpg,2868.0,1.5810346607922586e+18,Ajith,"Live day trading, detailed analysis on stocks with entry, exit, stop losses, price targets,mentoring and live news… https://t.co/CxeN8JvEv0"
Fri Oct 14 21:30:03 +0000 2022,"News and events on global equities and commodities.
RT and shares of @business, @cnn, @reuters, @techcrunch, @verge",1038.0,21.0,NY USA,http://pbs.twimg.com/profile_images/1565688641267048449/6e90oSOj_normal.jpg,5843.0,1.5810346258662687e+18,Market Times™,"#AssociatedPress: New this week: Taylor Swift,  ‘Descendant’ and ‘Ghostwriter’ $AAPL. Via: https://t.co/aB7I8MBKop https://t.co/f3fpN5M2L8"
Fri Oct 14 21:29:25 +0000 2022,"Crypto Freak. Day In & Day Out Only Crypto!  #crypto #freedom 

*Tweets/Retweets are ONLY personal   views. NOT a financial advice* | DYOR",242.0,369.0,Blockchain,http://pbs.twimg.com/profile_images/1489455607589785601/OE3r9ij4_normal.jpg,7669.0,1.5810344668140995e+18,Nizam Khan,"RT @MapleStax: How to use the Mid-Candle! 🕯️

Look for the Golden Zone (50-61.8% Retracement) for great risk:reward opportunities!

$SPY $Q…"
Fri Oct 14 21:29:17 +0000 2022,Most profitable trading community with most success rate join our community https://t.co/AFqc18TPg3,10.0,0.0,,http://pbs.twimg.com/profile_images/1572609320965263361/sTIeK0LP_normal.jpg,2868.0,1.5810344341317673e+18,Ajith,"*Make as much as you want, i've made 35K+ last week. Best room on the net  
https://t.co/nbm9ktyqhL

$AAPL $TSLA… https://t.co/CJt3jnH1iz"
Fri Oct 14 21:28:51 +0000 2022,"I Trade Options, Give You Free Watchlists, And Chart Stocks. NOT FINANCIAL ADVICE Admin: @TeamBullTrading",41.0,314.0,Follow Me,http://pbs.twimg.com/profile_images/1581030159687327746/i4Gv-ngN_normal.jpg,488.0,1.581034323695706e+18,TB - Brandon,"RT @Carwhorns: If you’re a day trader, ALWAYS do your analysis on $SPY &amp; $QQQ before taking any trades. 

Stocks like $AAPL, $NVDA, $AMD, $…"
Fri Oct 14 21:28:42 +0000 2022,Most profitable trading community with most success rate join our community https://t.co/AFqc18TPg3,10.0,0.0,,http://pbs.twimg.com/profile_images/1572609320965263361/sTIeK0LP_normal.jpg,2868.0,1.5810342844457656e+18,Ajith,$AAPL $GOOG $GLD $QQQ $SPY $VFF $TLRY $KBH $LEN $GE $T $F $GM $TSLA $HTSC $GRNF $MTCH $RIOT $MARA $IRRZF $KOAN… https://t.co/WSOt3QBFmt
Fri Oct 14 21:28:19 +0000 2022,Most profitable trading community with most success rate join our community https://t.co/AFqc18TPg3,10.0,0.0,,http://pbs.twimg.com/profile_images/1572609320965263361/sTIeK0LP_normal.jpg,2868.0,1.5810341888701358e+18,Ajith,"Join the most profitable trading alerts chatroom

https://t.co/nbm9ktQzvT

$SPX $SPY $AMZN $AAPL $AMD $FB $SHOP… https://t.co/DOf4EpE0cM"
